20 9
0
0 10 
0 0 6
0 1 9
0 2 5
0 3 2
0 4 4
0 5 11
0 6 14
0 7 14
0 8 15
1 0 6
1 1 7
1 2 0
1 3 1
1 4 0
1 5 19
1 6 19
1 7 19
1 8 19
2 0 5
2 1 5
2 2 1
2 3 7
2 4 3
2 5 19
2 6 19
2 7 19
2 8 19
3 0 7
3 1 1
3 2 8
3 3 9
3 4 3
3 5 19
3 6 19
3 7 19
3 8 19
4 0 9
4 1 1
4 2 3
4 3 7
4 4 9
4 5 19
4 6 19
4 7 19
4 8 19
5 0 7
5 1 8
5 2 1
5 3 0
5 4 8
5 5 19
5 6 19
5 7 19
5 8 19
6 0 0
6 1 4
6 2 8
6 3 0
6 4 2
6 5 19
6 6 19
6 7 19
6 8 19
7 0 6
7 1 8
7 2 0
7 3 6
7 4 2
7 5 19
7 6 19
7 7 19
7 8 19
8 0 0
8 1 8
8 2 9
8 3 2
8 4 5
8 5 19
8 6 19
8 7 19
8 8 19
9 0 5
9 1 0
9 2 1
9 3 1
9 4 6
9 5 19
9 6 19
9 7 19
9 8 19
10 0 19
10 1 19
10 2 19
10 3 19
10 4 19
10 5 11
10 6 14
10 7 14
10 8 15
11 0 19
11 1 19
11 2 19
11 3 19
11 4 19
11 5 10
11 6 12
11 7 11
11 8 18
12 0 19
12 1 19
12 2 19
12 3 19
12 4 19
12 5 15
12 6 12
12 7 16
12 8 13
13 0 19
13 1 19
13 2 19
13 3 19
13 4 19
13 5 18
13 6 14
13 7 17
13 8 17
14 0 19
14 1 19
14 2 19
14 3 19
14 4 19
14 5 10
14 6 11
14 7 12
14 8 13
15 0 19
15 1 19
15 2 19
15 3 19
15 4 19
15 5 11
15 6 13
15 7 17
15 8 16
16 0 19
16 1 19
16 2 19
16 3 19
16 4 19
16 5 10
16 6 16
16 7 12
16 8 16
17 0 19
17 1 19
17 2 19
17 3 19
17 4 19
17 5 12
17 6 10
17 7 17
17 8 18
18 0 19
18 1 19
18 2 19
18 3 19
18 4 19
18 5 11
18 6 11
18 7 17
18 8 12
19 0 19
19 1 19
19 2 19
19 3 19
19 4 19
19 5 19
19 6 19
19 7 19
19 8 19
